PLAYER_ID,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS
1630578,147,85,3660.0,691,1324,48,174,371,520,380,691,476,129,138,338,472,1801
1630579,93,21,1367.0,122,161,0,1,24,45,160,251,46,26,50,47,162,268
1630581,130,130,4067.0,820,1788,132,447,162,224,246,774,814,108,51,382,231,1934
1630583,109,20,2042.0,300,657,100,314,128,176,118,340,118,51,58,76,179,828
1630586,99,3,1209.0,105,221,29,79,34,54,141,249,81,54,40,53,163,273
1630587,71,27,1582.0,161,378,101,267,44,53,43,157,62,41,35,45,140,467
1630591,101,64,2553.0,384,992,108,398,212,282,81,251,364,126,46,237,262,1088
1630595,76,76,2488.0,522,1255,131,424,178,211,70,358,428,88,50,273,234,1353
1630596,148,148,5046.0,947,1777,45,194,372,556,330,951,398,116,234,279,365,2311
1630598,120,49,2506.0,342,700,90,260,121,156,119,269,148,69,25,109,203,895
1630625,95,3,975.0,138,332,28,102,43,68,49,120,135,41,23,71,102,347
1630631,115,11,2144.0,332,783,115,357,101,133,53,188,338,138,17,121,198,880
1630678,95,11,1241.0,213,370,22,76,48,73,149,117,61,20,20,41,113,496
1630688,105,2,1274.0,125,331,76,232,33,43,72,121,68,58,28,35,166,359
1630692,64,7,1111.0,158,356,38,119,53,69,57,149,168,58,26,57,96,407
1630696,30,2,317.0,36,90,10,38,6,6,4,44,44,20,8,6,46,88
1630699,52,11,701.0,96,243,47,142,27,37,38,77,35,21,7,45,71,266
1630700,59,11,1042.0,87,208,27,86,26,40,36,152,134,43,11,57,99,227
1630702,48,5,708.0,146,333,63,156,65,79,11,78,65,17,7,46,64,420
1631093,74,73,2304.0,409,983,120,350,266,356,73,215,387,61,17,237,242,1204
1631094,72,72,2430.0,479,1122,85,285,394,534,84,413,269,60,39,200,160,1437
1631095,79,79,2451.0,364,892,120,391,162,206,122,447,101,43,74,104,227,1010
1631097,78,17,2222.0,413,951,100,310,376,454,87,231,116,48,13,152,162,1302
1631098,28,5,423.0,66,171,17,70,14,27,10,55,28,10,8,17,48,163
1631099,80,78,2382.0,354,782,206,501,62,81,89,282,98,61,42,60,162,976
1631100,72,12,1401.0,248,533,101,259,42,47,37,116,73,42,12,42,87,639
1631101,80,15,1779.0,306,648,102,283,75,105,63,173,94,38,24,83,136,789
1631102,31,2,433.0,58,160,19,80,10,18,2,43,47,15,2,14,29,145
1631103,66,32,1550.0,269,611,77,255,58,70,28,153,127,33,7,76,115,673
1631104,37,1,669.0,69,215,20,52,26,44,12,70,98,25,5,65,67,184
1631105,67,31,1670.0,258,398,0,2,96,157,229,366,75,44,59,92,182,612
1631106,82,5,1767.0,296,660,59,172,109,145,195,301,88,96,47,101,189,760
1631107,15,8,204.0,28,69,8,35,18,19,9,22,10,7,2,10,19,82
1631108,41,3,512.0,44,106,26,62,14,16,7,68,21,9,7,13,33,128
1631109,43,17,828.0,160,251,0,0,67,97,93,211,18,28,45,40,94,387
1631110,56,53,1458.0,250,552,33,134,81,116,95,200,142,43,23,97,138,614
1631111,29,2,153.0,18,43,2,17,4,5,4,14,18,8,5,8,13,42
1631113,36,0,282.0,35,83,2,15,6,13,9,29,58,12,5,18,15,78
1631114,75,62,2276.0,414,794,73,205,155,191,84,253,248,103,35,123,191,1056
1631115,31,1,425.0,47,89,0,6,22,31,48,78,25,12,12,16,53,116
1631116,31,0,226.0,43,109,32,84,4,6,1,39,11,6,4,11,14,122
1631117,74,40,1703.0,298,414,1,3,82,159,231,389,69,26,173,58,169,679
1631119,49,36,914.0,102,234,46,113,38,54,44,197,76,28,12,37,111,288
1631121,46,7,787.0,80,202,26,80,60,80,20,73,54,15,6,43,48,246
1631128,76,6,1181.0,143,289,34,96,40,64,48,133,59,41,17,35,101,360
1631132,58,19,802.0,72,150,1,12,37,59,84,87,31,21,57,20,128,182
1631133,56,0,619.0,83,198,16,56,34,45,48,83,34,10,13,29,69,216
1631157,12,0,62.0,7,20,3,9,6,6,3,9,6,1,1,16,10,23
1631169,15,0,96.0,18,36,2,6,8,8,5,20,5,4,6,3,10,46
1631172,39,1,569.0,76,181,26,98,15,23,19,86,46,14,7,26,42,193
