original_name,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Number of College Seasons,Number of College Teams,Current_Contract,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,ORGANIZATION,SEASON,ROUND_NUMBER,ROUND_PICK,OVERALL_PICK
tre-jones,65,65.0,2258.0,294,702,228.0,491.0,66.0,211.0,155,202,51.0,207.0,258,377,120.0,16.0,131.0,107.0,809,2,1,9895833.0,San Antonio,Spurs,SAS,Duke,2020,2.0,11.0,41.0
tre-mann,53,28.0,1293.0,190,450,123.0,258.0,67.0,192.0,93,118,24.0,166.0,190,103,50.0,5.0,100.0,110.0,540,2,1,3191400.0,Oklahoma City,Thunder,OKC,Florida,2021,1.0,18.0,18.0
trey-lyles,36,21.0,828.0,117,240,113.0,211.0,4.0,29.0,75,102,65.0,123.0,188,38,19.0,16.0,41.0,57.0,313,1,1,8000000.0,Utah,Jazz,UTA,Kentucky,2015,1.0,12.0,12.0
trey-murphy iii,172,90.0,4548.0,622,1366,240.0,414.0,382.0,952.0,272,332,134.0,518.0,652,176,124.0,86.0,164.0,334.0,1898,3,2,3359280.0,Memphis,Grizzlies,MEM,Virginia,2021,1.0,17.0,17.0
tristan-thompson,128,99.0,3266.0,463,1055,280.0,593.0,183.0,462.0,520,637,81.0,275.0,356,170,74.0,8.0,212.0,229.0,1629,4,1,2019706.0,Cleveland,Cavaliers,CLE,Texas,2011,1.0,4.0,4.0
troy-brown jr.,35,35.0,1093.0,143,322,111.0,212.0,32.0,110.0,78,105,53.0,164.0,217,111,55.0,7.0,86.0,78.0,396,1,1,4000000.0,Washington,Wizards,WAS,Oregon,2018,1.0,15.0,15.0
ty-jerome,105,76.0,2775.0,363,835,197.0,411.0,166.0,424.0,119,151,29.0,289.0,318,384,127.0,4.0,145.0,202.0,1011,3,1,2439025.0,Philadelphia,76ers,PHI,Virginia,2019,1.0,24.0,24.0
tyler-herro,37,37.0,1207.0,186,403,126.0,234.0,60.0,169.0,87,93,15.0,151.0,166,91,40.0,12.0,60.0,47.0,519,1,1,27000000.0,Miami,Heat,MIA,Kentucky,2019,1.0,13.0,13.0
tyrese-haliburton,57,56.0,1970.0,209,411,108.0,174.0,101.0,237.0,55,71,58.0,191.0,249,267,108.0,45.0,89.0,75.0,574,2,1,5808435.0,Sacramento,Kings,SAC,Iowa State,2020,1.0,12.0,12.0
tyrese-maxey,31,28.0,1069.0,150,351,117.0,238.0,33.0,113.0,100,120,12.0,121.0,133,99,27.0,12.0,67.0,74.0,433,1,1,4343920.0,Philadelphia,76ers,PHI,Kentucky,2020,1.0,21.0,21.0
hunter-tyson,140,73.0,2814.0,382,844,213.0,382.0,169.0,462.0,199,252,115.0,550.0,665,111,80.0,29.0,97.0,191.0,1132,5,1,1119563.0,Oklahoma City,Thunder,OKC,Clemson,2023,2.0,7.0,37.0
tyty-washington jr.,31,29.0,905.0,152,337,116.0,234.0,36.0,103.0,48,64,20.0,87.0,107,120,40.0,6.0,51.0,47.0,388,1,1,2320440.0,Memphis,Grizzlies,MEM,Kentucky,2022,1.0,29.0,29.0
tyus-jones,39,39.0,1322.0,135,324,88.0,200.0,47.0,124.0,144,162,19.0,118.0,137,217,59.0,3.0,76.0,46.0,461,1,1,14000000.0,Cleveland,Cavaliers,CLE,Duke,2015,1.0,24.0,24.0
victor-oladipo,104,75.0,2558.0,406,754,358.0,612.0,48.0,142.0,257,359,207.0,330.0,537,175,161.0,56.0,203.0,248.0,1117,3,1,9450000.0,Orlando,Magic,ORL,Indiana,2013,1.0,2.0,2.0
walker-kessler,126,68.0,2250.0,430,716,408.0,608.0,22.0,108.0,150,260,268.0,468.0,736,78,104.0,360.0,106.0,246.0,1032,2,2,2831160.0,Memphis,Grizzlies,MEM,Auburn,2022,1.0,22.0,22.0
wendell-carter jr.,37,37.0,997.0,179,319,160.0,273.0,19.0,46.0,124,168,109.0,226.0,335,74,30.0,76.0,75.0,105.0,501,1,1,13050000.0,Chicago,Bulls,CHI,Duke,2018,1.0,7.0,7.0
wendell-moore jr.,88,68.0,2586.0,338,736,260.0,518.0,78.0,218.0,188,231,117.0,310.0,427,284,106.0,18.0,185.0,172.0,942,3,1,2421720.0,Dallas,Mavericks,DAL,Duke,2022,1.0,26.0,26.0
xavier-tillman sr.,105,45.0,2235.0,348,598,327.0,521.0,21.0,77.0,196,282,214.0,482.0,696,167,83.0,153.0,135.0,226.0,913,3,1,1930681.0,Sacramento,Kings,SAC,Michigan State,2020,2.0,5.0,35.0
zach-collins,39,0.0,673.0,135,207,125.0,186.0,10.0,21.0,110,148,66.0,164.0,230,16,18.0,69.0,60.0,105.0,390,1,1,7700000.0,Sacramento,Kings,SAC,Gonzaga,2017,1.0,10.0,10.0
zach-lavine,37,1.0,904.0,127,288,79.0,160.0,48.0,128.0,47,68,18.0,76.0,94,66,33.0,6.0,42.0,73.0,349,1,1,40064220.0,Minnesota,Timberwolves,MIN,California-Los Angeles,2014,1.0,13.0,13.0
zeke-nnaji,32,32.0,981.0,179,314,174.0,297.0,5.0,17.0,152,200,99.0,177.0,276,27,23.0,28.0,70.0,76.0,515,1,1,4306281.0,Denver,Nuggets,DEN,Arizona,2020,1.0,22.0,22.0
ziaire-williams,20,14.0,558.0,76,203,53.0,124.0,23.0,79.0,39,49,10.0,81.0,91,44,17.0,11.0,58.0,48.0,214,1,1,4810200.0,New Orleans,Pelicans,NOP,Stanford,2021,1.0,10.0,10.0
zion-williamson,33,33.0,990.0,296,435,272.0,364.0,24.0,71.0,130,203,116.0,177.0,293,68,70.0,59.0,78.0,68.0,746,1,1,34005250.0,New Orleans,Pelicans,NOP,Duke,2019,1.0,1.0,1.0
